DATE,PCEPI_previous,CCI_previous,Retails_previous,CPI_previous,PCEPI,CCI,Retails,CPI,PCEPI_label,CCI_label,Retails_label,CPI_label
1997-6-1,0.016925035,0.1474,0.028001325,0.022349936,0.01825247,0.1536,0.043536118,0.022973835,0,1,1,1
1997-7-1,0.01825247,0.1536,0.043536118,0.022973835,0.016698297,0.1155,0.055187143,0.022292994,0,1,1,1
1997-8-1,0.016698297,0.1155,0.055187143,0.022292994,0.016559814,0.034,0.058185284,0.022250477,0,1,1,1
1997-9-1,0.016559814,0.034,0.058185284,0.022250477,0.016145925,0.0102,0.047606596,0.021546261,0,1,1,1
1997-10-1,0.016145925,0.0102,0.047606596,0.021546261,0.014388392,-0.0131,0.037748929,0.020846494,0,0,0,1
1997-11-1,0.014388392,-0.0131,0.037748929,0.020846494,0.012630125,-0.0105,0.043771918,0.018284994,0,0,1,0
1997-12-1,0.012630125,-0.0105,0.043771918,0.018284994,0.011249932,-0.0105,0.040137318,0.01702396,0,0,0,0
1998-1-1,0.011249932,-0.0105,0.040137318,0.01702396,0.010438611,0.0794,0.036047655,0.015713388,0,1,0,0
1998-2-1,0.010438611,0.0794,0.036047655,0.015713388,0.007802393,0.1009,0.025777586,0.014411028,0,1,0,0
1998-3-1,0.007802393,0.1009,0.025777586,0.014411028,0.006905743,0.0288,0.028498951,0.01375,0,1,0,0
1998-4-1,0.006905743,0.0288,0.028498951,0.01375,0.00715448,-0.0195,0.050314898,0.014357054,0,0,1,0
1998-5-1,0.00715448,-0.0195,0.050314898,0.014357054,0.009014585,-0.0771,0.064155003,0.01686446,0,0,1,0
1998-6-1,0.009014585,-0.0771,0.064155003,0.01686446,0.006866434,-0.0962,0.056978136,0.016843419,0,0,1,0
1998-7-1,0.006866434,-0.0962,0.056978136,0.016843419,0.008755909,-0.074,0.037809037,0.01682243,0,0,0,0
1998-8-1,0.008755909,-0.074,0.037809037,0.01682243,0.009339273,-0.0843,0.028901678,0.016169154,0,0,0,0
1998-9-1,0.009339273,-0.0843,0.028901678,0.016169154,0.006318269,-0.0588,0.035492449,0.014888337,0,0,0,0
1998-10-1,0.006318269,-0.0588,0.035492449,0.014888337,0.007219155,0.0296,0.054811177,0.014851485,0,1,1,0
1998-11-1,0.007219155,0.0296,0.054811177,0.014851485,0.007232234,0.1498,0.058381514,0.015479876,0,1,1,0
1998-12-1,0.007232234,0.1498,0.058381514,0.015479876,0.008450554,0.156,0.065990648,0.016119033,0,1,1,0
1999-1-1,0.008450554,0.156,0.065990648,0.016119033,0.009381891,0.1904,0.068351569,0.016707921,0,1,1,0
1999-2-1,0.009381891,0.1904,0.068351569,0.016707921,0.009319802,0.1286,0.079684279,0.016059296,0,1,1,0
1999-3-1,0.009319802,0.1286,0.079684279,0.016059296,0.009919919,-0.0072,0.078664529,0.017262639,0,0,1,0
1999-4-1,0.009919919,-0.0072,0.078664529,0.017262639,0.01355303,-0.047,0.072104965,0.022769231,0,0,1,1
1999-5-1,0.01355303,-0.047,0.072104965,0.022769231,0.012814358,-0.0128,0.077320524,0.020884521,0,0,1,1
1999-6-1,0.012814358,-0.0128,0.077320524,0.020884521,0.013986201,0.0131,0.071952556,0.019631902,0,1,1,0
1999-7-1,0.013986201,0.0131,0.071952556,0.019631902,0.014178071,0.0069,0.088935538,0.021446078,0,1,1,1
1999-8-1,0.014178071,0.0069,0.088935538,0.021446078,0.014610476,0.0202,0.107332098,0.022643819,0,1,1,1
1999-9-1,0.014610476,0.0202,0.107332098,0.022643819,0.018849101,0.0609,0.100876136,0.026283619,0,1,1,1
1999-10-1,0.018849101,0.0609,0.100876136,0.026283619,0.018343266,0.0859,0.082329839,0.025609756,0,1,1,1
1999-11-1,0.018343266,0.0859,0.082329839,0.025609756,0.01920499,0.1302,0.087774833,0.026219512,0,1,1,1
1999-12-1,0.01920499,0.1302,0.087774833,0.026219512,0.020551578,0.1405,0.09994668,0.026845638,1,1,1,1
2000-1-1,0.020551578,0.1405,0.09994668,0.026845638,0.021886213,0.146,0.086782412,0.027388923,1,1,1,1
2000-2-1,0.021886213,0.146,0.086782412,0.027388923,0.025674315,0.0393,0.092300552,0.032218845,1,1,1,1
2000-3-1,0.025674315,0.0393,0.092300552,0.032218845,0.029308587,-0.0306,0.098532651,0.037575758,1,0,1,1
2000-4-1,0.029308587,-0.0306,0.098532651,0.037575758,0.023502753,-0.0076,0.073324397,0.030685921,1,0,1,1
2000-5-1,0.023502753,-0.0076,0.073324397,0.030685921,0.023698242,-0.0156,0.064722036,0.03188929,1,0,1,1
2000-6-1,0.023698242,-0.0156,0.064722036,0.03188929,0.026849524,-0.0567,0.070102586,0.037304452,1,0,1,1
2000-7-1,0.026849524,-0.0567,0.070102586,0.037304452,0.026686444,-0.0304,0.05654248,0.036592681,1,0,1,1
2000-8-1,0.026686444,-0.0304,0.05654248,0.036592681,0.024764475,-0.0791,0.046540923,0.034111311,1,0,1,1
2000-9-1,0.024764475,-0.0791,0.046540923,0.034111311,0.025485358,-0.1464,0.060451152,0.034544372,1,0,1,1
2000-10-1,0.025485358,-0.1464,0.060451152,0.034544372,0.025142395,-0.1126,0.057536634,0.034482759,1,0,1,1
2000-11-1,0.025142395,-0.1126,0.057536634,0.034482759,0.025653714,-0.1458,0.040686943,0.03446227,1,0,0,1
2000-12-1,0.025653714,-0.1458,0.040686943,0.03446227,0.024853839,-0.2353,0.021072571,0.033868093,1,0,0,1
2001-1-1,0.024853839,-0.2353,0.021072571,0.033868093,0.027014771,-0.2308,0.037866215,0.037322275,1,0,0,1
2001-2-1,0.027014771,-0.2308,0.037866215,0.037322275,0.025393299,-0.1738,0.022542518,0.035335689,1,0,0,1
2001-3-1,0.025393299,-0.1738,0.022542518,0.035335689,0.021091891,-0.0904,0.002013409,0.029205607,1,0,0,1
2001-4-1,0.021091891,-0.0904,0.002013409,0.029205607,0.023735358,-0.0612,0.036333904,0.032691185,1,0,0,1
2001-5-1,0.023735358,-0.0612,0.036333904,0.032691185,0.025567488,-0.0528,0.036624547,0.036151603,1,0,0,1
2001-6-1,0.025567488,-0.0528,0.036624547,0.036151603,0.023917251,-0.0596,0.023621857,0.032482599,1,0,0,1
2001-7-1,0.023917251,-0.0596,0.023621857,0.032482599,0.021019255,-0.1262,0.023550021,0.027199074,1,0,0,1
2001-8-1,0.021019255,-0.1262,0.023550021,0.027199074,0.020956667,-0.234,0.02820952,0.027199074,1,0,0,1
2001-9-1,0.020956667,-0.234,0.02820952,0.027199074,0.013138965,-0.2981,-0.007909878,0.026482441,0,0,0,1
2001-10-1,0.013138965,-0.2981,-0.007909878,0.026482441,0.015320653,-0.1545,0.066785818,0.021264368,0,0,1,1
2001-11-1,0.015320653,-0.1545,0.066785818,0.021264368,0.013217034,0.055,0.040678142,0.018954624,0,1,0,0
2001-12-1,0.013217034,0.055,0.040678142,0.018954624,0.010623328,0.1993,0.023502142,0.015517241,0,1,0,0
2002-1-1,0.010623328,0.1993,0.023502142,0.015517241,0.0066612,0.1886,0.014458508,0.011422045,0,1,0,0
2002-2-1,0.0066612,0.1886,0.014458508,0.011422045,0.006776843,0.1624,0.01965145,0.011376564,0,1,0,0
2002-3-1,0.006776843,0.1624,0.01965145,0.011376564,0.009433843,0.1518,0.026888722,0.014755959,0,1,0,0
2002-4-1,0.009433843,0.1518,0.026888722,0.014755959,0.011881711,0.0617,0.025788674,0.016393443,0,1,0,0
2002-5-1,0.011881711,0.0617,0.025788674,0.016393443,0.009881745,-0.0003,0.009227406,0.01181767,0,0,0,0
2002-6-1,0.009881745,-0.0003,0.009227406,0.01181767,0.009350942,-0.1259,0.022690948,0.010674157,0,0,0,0
2002-7-1,0.009350942,-0.1259,0.022690948,0.010674157,0.01192116,-0.1784,0.038624964,0.014647887,0,0,0,0
2002-8-1,0.01192116,-0.1784,0.038624964,0.014647887,0.014039174,-0.1625,0.041180861,0.018028169,0,0,0,0
2002-9-1,0.014039174,-0.1625,0.041180861,0.018028169,0.019327193,-0.1573,0.043150753,0.015143017,0,0,0,0
2002-10-1,0.019327193,-0.1573,0.043150753,0.015143017,0.017593949,-0.1895,-0.022559786,0.020258863,0,0,0,1
2002-11-1,0.017593949,-0.1895,-0.022559786,0.020258863,0.01929752,-0.1354,0.011722978,0.021984216,0,0,0,1
2002-12-1,0.01929752,-0.1354,0.011722978,0.021984216,0.021324369,-0.16928,0.036566114,0.0237691,1,0,0,1
2003-1-1,0.021324369,-0.16928,0.036566114,0.0237691,0.023448172,-0.2387,0.042616862,0.025974026,1,0,0,1
2003-2-1,0.023448172,-0.2387,0.042616862,0.025974026,0.026061607,-0.19329,0.021414988,0.029808774,1,0,0,1
2003-3-1,0.026061607,-0.19329,0.021414988,0.029808774,0.025890896,-0.00582,0.041861985,0.030201342,1,0,0,1
2003-4-1,0.025890896,-0.00582,0.041861985,0.030201342,0.019893388,0.27547,0.022438804,0.022246941,0,1,0,1
2003-5-1,0.019893388,0.27547,0.022438804,0.022246941,0.018067576,0.29923,0.03800476,0.02057842,0,1,0,1
2003-6-1,0.018067576,0.29923,0.03800476,0.02057842,0.017883719,0.17949,0.040841308,0.021122846,0,1,0,1
2003-7-1,0.017883719,0.17949,0.040841308,0.021122846,0.018623933,0.0731,0.040274918,0.021099389,0,1,0,1
2003-8-1,0.018623933,0.0731,0.040274918,0.021099389,0.020057059,0.0015,0.048754353,0.021582734,1,1,1,1
2003-9-1,0.020057059,0.0015,0.048754353,0.021582734,0.021414042,0.0196,0.060638616,0.02320442,1,1,1,1
2003-10-1,0.021414042,0.0196,0.060638616,0.02320442,0.0196894,0.083,0.04890572,0.020408163,0,1,1,1
2003-11-1,0.0196894,0.083,0.04890572,0.020408163,0.01996484,0.1541,0.055886906,0.017650303,0,1,1,0
2003-12-1,0.01996484,0.1541,0.055886906,0.017650303,0.021235308,0.1619,0.043928853,0.018794914,1,1,1,0
2004-1-1,0.021235308,0.1619,0.043928853,0.018794914,0.022127253,0.1619,0.043718894,0.019262521,1,1,1,0
2004-2-1,0.022127253,0.1619,0.043718894,0.019262521,0.019997805,-0.0101,0.067419487,0.016930639,0,0,1,0
2004-3-1,0.019997805,-0.0101,0.067419487,0.016930639,0.018961554,-0.0444,0.068661788,0.017372421,0,0,1,0
2004-4-1,0.018961554,-0.0444,0.068661788,0.017372421,0.022587719,-0.0463,0.058963985,0.022850925,1,0,1,1
2004-5-1,0.022587719,-0.0463,0.058963985,0.022850925,0.027077794,-0.0339,0.078133766,0.030517711,1,0,1,1
2004-6-1,0.027077794,-0.0339,0.078133766,0.030517711,0.028912932,0.0461,0.050803266,0.032661949,1,1,1,1
2004-7-1,0.028912932,0.0461,0.050803266,0.032661949,0.026848084,0.0694,0.051237964,0.029907558,1,1,1,1
2004-8-1,0.026848084,0.0694,0.051237964,0.029907558,0.023924546,0.0157,0.035889411,0.026543879,1,1,0,1
2004-9-1,0.023924546,0.0157,0.035889411,0.026543879,0.022727273,-0.0194,0.060445682,0.02537797,1,0,1,1
2004-10-1,0.022727273,-0.0194,0.060445682,0.02537797,0.026996693,0.0071,0.074067199,0.031891892,1,1,1,1
2004-11-1,0.026996693,0.0071,0.074067199,0.031891892,0.029650343,0.0667,0.064244084,0.035230352,1,1,1,1
2004-12-1,0.029650343,0.0667,0.064244084,0.035230352,0.027937462,0.1067,0.079791219,0.032555616,1,1,1,1
2005-1-1,0.027937462,0.1067,0.079791219,0.032555616,0.025326161,0.076,0.063758233,0.029697624,1,1,1,1
2005-2-1,0.025326161,0.076,0.063758233,0.029697624,0.025989552,-0.0261,0.069856762,0.030075188,1,0,1,1
2005-3-1,0.025989552,-0.0261,0.069856762,0.030075188,0.027477381,-0.1449,0.052755154,0.031483458,1,0,1,1
2005-4-1,0.027477381,-0.1449,0.052755154,0.031483458,0.028439012,-0.1607,0.073538975,0.035106383,1,0,1,1
2005-5-1,0.028439012,-0.1607,0.073538975,0.035106383,0.025698881,-0.0675,0.046917281,0.028027499,1,0,1,1
2005-6-1,0.025698881,-0.0675,0.046917281,0.028027499,0.023399292,0.0376,0.094519116,0.02530311,1,1,1,1
2005-7-1,0.023399292,0.0376,0.094519116,0.02530311,0.026796806,-0.0521,0.091043228,0.031678986,1,0,1,1
2005-8-1,0.026796806,-0.0521,0.091043228,0.031678986,0.030401211,-0.2405,0.076769199,0.036411609,1,0,1,1
2005-9-1,0.030401211,-0.2405,0.076769199,0.036411609,0.038307665,-0.293,0.059814627,0.046866772,1,0,1,1
2005-10-1,0.038307665,-0.293,0.059814627,0.046866772,0.035511581,-0.0328,0.052061061,0.043478261,1,0,1,1
2005-11-1,0.035511581,-0.0328,0.052061061,0.043478261,0.029393517,0.2563,0.057823531,0.034554974,1,1,1,1
2005-12-1,0.029393517,0.2563,0.057823531,0.034554974,0.028839517,0.3573,0.045736132,0.034156595,1,1,1,1
2006-1-1,0.028839517,0.3573,0.045736132,0.034156595,0.032470643,0.2429,0.086458867,0.039853173,1,1,1,1
2006-2-1,0.032470643,0.2429,0.086458867,0.039853173,0.030224998,0.0532,0.065258836,0.035974974,1,1,1,1
2006-3-1,0.030224998,0.0532,0.065258836,0.035974974,0.029135688,-0.0358,0.064920281,0.033626487,1,0,1,1
2006-4-1,0.029135688,-0.0358,0.064920281,0.033626487,0.031023737,-0.1114,0.061894259,0.035457348,1,0,1,1
2006-5-1,0.031023737,-0.1114,0.061894259,0.035457348,0.033217552,-0.188,0.06633397,0.041666667,1,0,1,1
2006-6-1,0.033217552,-0.188,0.06633397,0.041666667,0.035129537,-0.1016,0.039213606,0.043187661,1,0,0,1
2006-7-1,0.035129537,-0.1016,0.039213606,0.043187661,0.034278143,-0.0301,0.034077571,0.041453429,1,0,0,1
2006-8-1,0.034278143,-0.0301,0.034077571,0.041453429,0.03336011,0.0306,0.049276559,0.038187373,1,1,1,1
2006-9-1,0.03336011,0.0306,0.049276559,0.038187373,0.020811312,0.1577,0.040438017,0.020623742,1,1,0,1
2006-10-1,0.020811312,0.1577,0.040438017,0.020623742,0.016772393,0.2317,0.039290902,0.013052209,0,1,0,0
2006-11-1,0.016772393,0.2317,0.039290902,0.013052209,0.019240829,0.129,0.032045655,0.019736842,0,1,0,0
2006-12-1,0.019240829,0.129,0.032045655,0.019736842,0.022868385,0.0506,0.042670342,0.025406504,1,1,0,1
2007-1-1,0.022868385,0.0506,0.042670342,0.025406504,0.021332217,-0.0002,0.014993113,0.020675744,1,0,0,1
2007-2-1,0.021332217,-0.0002,0.014993113,0.020675744,0.023886809,-0.0726,0.024305762,0.024157021,1,0,0,1
2007-3-1,0.023886809,-0.0726,0.024305762,0.024157021,0.025658103,-0.0802,0.030261571,0.028028028,1,0,0,1
2007-4-1,0.025658103,-0.0802,0.030261571,0.028028028,0.023314869,-0.0154,0.021698221,0.025806452,1,0,0,1
2007-5-1,0.023314869,-0.0154,0.021698221,0.025806452,0.023532312,0.0291,0.03855883,0.026666667,1,1,0,1
2007-6-1,0.023532312,0.0291,0.03855883,0.026666667,0.023172627,-0.0179,0.024419526,0.027106949,1,0,0,1
2007-7-1,0.023172627,-0.0179,0.024419526,0.027106949,0.02124436,-0.0414,0.025101479,0.023587224,1,0,0,1
2007-8-1,0.02124436,-0.0414,0.025101479,0.023587224,0.018734661,-0.1612,0.02718828,0.01961746,0,0,0,0
2007-9-1,0.018734661,-0.1612,0.02718828,0.01961746,0.025341825,-0.2136,0.037761883,0.027599803,1,0,0,1
2007-10-1,0.025341825,-0.2136,0.037761883,0.027599803,0.030893202,-0.2648,0.046027309,0.03518335,1,0,1,1
2007-11-1,0.030893202,-0.2648,0.046027309,0.03518335,0.035992413,-0.308,0.055018974,0.043176179,1,0,1,1
2007-12-1,0.035992413,-0.308,0.055018974,0.043176179,0.034719674,-0.25461,0.028575887,0.040634291,1,0,0,1
2008-1-1,0.034719674,-0.25461,0.028575887,0.040634291,0.033884032,-0.26525,0.031270153,0.04298419,1,0,0,1
2008-2-1,0.033884032,-0.26525,0.031270153,0.04298419,0.032729843,-0.366,0.020219361,0.04029484,1,0,0,1
2008-3-1,0.032729843,-0.366,0.020219361,0.04029484,0.031905878,-0.42969,0.013957329,0.039435248,1,0,0,1
2008-4-1,0.031905878,-0.42969,0.013957329,0.039435248,0.031403035,-0.52003,0.016030465,0.039187228,1,0,0,1
2008-5-1,0.031403035,-0.52003,0.016030465,0.039187228,0.032822781,-0.49868,0.011205798,0.041847042,1,0,0,1
2008-6-1,0.032822781,-0.49868,0.011205798,0.041847042,0.038117817,-0.37584,0.021852988,0.049904031,1,0,0,1
2008-7-1,0.038117817,-0.37584,0.021852988,0.049904031,0.041353958,-0.1121,0.013326633,0.055996159,1,0,0,1
2008-8-1,0.041353958,-0.1121,0.013326633,0.055996159,0.039810757,0.08564,-0.00037107,0.053804714,1,1,0,1
2008-9-1,0.039810757,0.08564,-0.00037107,0.053804714,0.036671445,0.00013,-0.021163122,0.049318945,1,1,0,1
2008-10-1,0.036671445,0.00013,-0.021163122,0.049318945,0.026719499,-0.31056,-0.067253281,0.036730493,1,0,0,1
2008-11-1,0.026719499,-0.31056,-0.067253281,0.036730493,0.009261652,-0.28456,-0.116672969,0.010585157,0,0,0,0
2008-12-1,0.009261652,-0.28456,-0.116672969,0.010585157,0.001289324,-0.17097,-0.125417548,0.001085714,0,0,0,0
2009-1-1,0.001289324,-0.17097,-0.125417548,0.001085714,-0.0011146,-0.08876,-0.114812158,0.000203695,0,0,0,0
2009-2-1,-0.0011146,-0.08876,-0.114812158,0.000203695,-0.001315621,-0.0088,-0.110444612,0.002328767,0,0,0,0
2009-3-1,-0.001315621,-0.0088,-0.110444612,0.002328767,-0.005258106,0.23319,-0.127965083,-0.003704918,0,1,0,0
2009-4-1,-0.005258106,0.23319,-0.127965083,-0.003704918,-0.005674197,0.49051,-0.123129347,-0.00726257,0,1,0,0
2009-5-1,-0.005674197,0.49051,-0.123129347,-0.00726257,-0.008893647,0.50533,-0.122640532,-0.012668513,0,1,0,0
